"time","resistor.v","resistor.i","resistor.LossPower"
4.8274,-44.38592404990698,-4.438592404990699,197.0110253764111
4.8276,-45.70000929083208,-4.570000929083208,208.8490849182138
4.8278,-46.75441798547653,-4.675441798547653,218.5975601160651
4.828,-47.54315886347478,-4.754315886347478,226.0351954717601
4.8282,-48.06175002894589,-4.806175002894589,230.993181584488
4.8284,-48.30724464990755,-4.830724464990755,233.3589885666022
4.8286,-48.27824792685335,-4.827824792685335,233.0789222886719
4.8288,-47.97492460045761,-4.797492460045762,230.1593390419593
4.829,-47.39899816247728,-4.739899816247728,224.6665026806525
4.8292,-46.55374117326394,-4.655374117326394,216.725081722725
4.8294,-45.44395656407674,-4.544395656407674,206.5153188197693
4.8296,-44.07595029538398,-4.407595029538397,194.2689394441159
4.8298,-42.45749565752271,-4.245749565752272,180.263893750856
4.83,-40.59778920196135,-4.059778920196135,164.818048808689
4.8302,-38.50739794868322,-3.850739794868322,148.2819696778253
4.8304,-36.19819990151279,-3.619819990151279,131.030967610988
4.8306,-33.68331643879857,-3.368331643879857,113.4565806316238
4.8308,-30.97703792910118,-3.097703792910118,95.95768788609732
4.831,-28.09474153411387,-2.809474153411387,78.93145018686627
4.8312,-25.05280511436239,-2.505280511436239,62.76430440982224
4.8314,-21.8685136834184,-2.18685136834184,47.82318907218578
4.8316,-18.55996131888218,-1.855996131888218,34.44721641584028
4.8318,-15.14594728933398,-1.514594728933398,22.93997192912834
4.832,-11.64587086579647,-1.164587086579647,13.56263082228071
4.8322,-8.0796204081315,-0.80796204081315,6.528026593949503
4.8324,-4.467460171951892,-0.4467460171951892,1.995820038797643
4.8326,-0.8299146564614492,-0.08299146564614493,0.06887583370095253
4.8328,2.812346684678865,0.2812346684678865,0.7909293874824201
4.833,6.43862748560576,0.643862748560576,4.145592389839796
4.8332,10.02832260997743,1.002832260997743,10.05672543697846
4.8334,13.56103506641692,1.356103506641692,18.39016720725894
4.8336,17.01669107585414,1.701669107585414,28.95677751710538
4.8338,20.37565455814695,2.037565455814695,41.51672986729345
4.834,23.61883952213298,2.361883952213298,55.78495803722709
4.8342,26.72781774600755,2.672781774600755,71.43762414637962
4.8344,29.68492320752481,2.968492320752481,88.11946658366453
4.8346,32.47335269798922,3.247335269798922,105.4518635448004
4.8348,35.07726223173955,3.507726223173955,123.0414325674222
4.835,37.4818559219695,3.74818559219695,140.488952335528
4.8352,39.67347023201082,3.967347023201082,157.3984240250249
4.8354,41.63965168649425,4.163965168649425,173.3860592572564
4.8356,43.36922848920788,4.336922848920787,188.088997974912
4.8358,44.85237277705777,4.485237277705776,201.1735343732152
4.836,46.08065691667142,4.608065691667142,212.3426941871978
4.8362,47.04710137146742,4.704710137146742,221.3429747457132
4.8364,47.74621495108035,4.774621495108035,227.9701042154769
4.8366,48.17402504492655,4.817402504492655,232.0736689029211
4.8368,48.32810068845613,4.832810068845612,233.5605316153553
4.837,48.20756634679623,4.820756634679623,232.396945308076
4.8372,47.8131070644999,4.78131070644999,228.609320716133
4.8374,47.14696415294738,4.714696415294737,222.2836228839305
4.8376,46.21292276212154,4.621292276212154,213.5634230217811
4.8378,45.01629045127981,4.501629045127981,202.6466405993986
4.838,43.56386651058452,4.356386651058452,189.7810465352028
4.8382,41.8639041817188,4.186390418171881,175.2586473336133
4.8384,39.92606265351797,3.992606265351797,159.4090479012642
4.8386,37.76135283785103,3.776135283785103,142.591976814468
4.8388,35.38207611793268,3.538207611793267,125.1891310415182
4.839,32.80175036140482,3.280175036140482,107.5954826771921
4.8392,30.03503900061812,3.003503900061812,90.21035677686515
4.8394,27.09766204348282,2.709766204348282,73.42832882228097
4.8396,24.00631008595828,2.400631008595828,57.63029239431824
4.8398,20.7785508023608,2.07785508023608,43.17481734462885
4.84,17.43272216919463,1.743272216919463,30.38998022283298
4.8402,13.98783817139936,1.398783817139936,19.56596167092569
4.8404,10.46347187779485,1.046347187779485,10.94842437374036
4.8406,6.879649829746473,0.6879649829746473,4.732958177993067
4.8408,3.2567374284274,0.32567374284274,1.060633867771991
4.841,-0.3846804197729536,-0.03846804197729536,0.01479790253566958
4.8412,-4.023912620945225,-0.4023912620945225,1.619187278100227
4.8414,-7.640279338488249,-0.7640279338488249,5.837386837013044
4.8416,-11.21323285112494,-1.121323285112494,12.57365909735475
4.8418,-14.72247102989332,-1.472247102989332,21.67511532260481
4.842,-18.1480526459996,-1.81480526459996,32.93518148419732
4.8422,-21.47051367431376,-2.147051367431376,46.09829574388941
4.8424,-24.67097539068543,-2.467097539068543,60.86570267278059
4.8426,-27.73125113521631,-2.773125113521631,76.90222895244356
4.8428,-30.63395257497801,-3.063395257497801,93.84390503660019
4.843,-33.36258623346723,-3.336258623346723,111.3062160185537
4.8432,-35.90164657961222,-3.590164657961222,128.8928227127382
4.8434,-38.23670676946026,-3.823670676946026,146.2045744573688
4.8436,-40.35449876176645,-4.035449876176645,162.848557031341
4.8438,-42.24298808816583,-4.224298808816583,178.447004261692
4.844,-43.89144441420367,-4.389144441420367,192.645889276513
4.8442,-45.29050112543297,-4.529050112543297,205.1229492192845
4.8444,-46.43220792841893,-4.643220792841893,215.594993310793
4.8446,-47.31007772563317,-4.731007772563317,223.8243454405452
4.8448,-47.9191224674244,-4.79191224674244,229.6242298048018
4.845,-48.25588105735027,-4.825588105735027,232.8630056621136
4.8452,-48.31844029523229,-4.831844029523229,233.4671672563928
4.8454,-48.10644480479377,-4.810644480479377,231.423003175667
4.8456,-47.62109868986052,-4.762109868986052,226.7769040429435
4.8458,-46.86515993563159,-4.686515993563159,219.6343215792328
4.846,-45.84292397815413,-4.584292397815413,210.1573678866819
4.8462,-44.56019937240745,-4.456019937240745,198.5611368108701
4.8464,-43.02427498519732,-4.302427498519732,185.1088238001876
4.8466,-41.24387848585614,-4.124387848585615,170.1057512556067
4.8468,-39.22912591379395,-3.922912591379395,153.89243199603
4.847,-36.99146610763536,-3.699146610763536,136.8368564792335
