"time","mass.a","force.f"
6.81,0.1297809169582395,0.3893427508747185
6.84,0.1297809169582395,0.3893427508747185
6.87,0.1297809169582395,0.3893427508747185
6.9,0.1297809169582395,0.3893427508747185
6.93,0.1297809169582395,0.3893427508747185
6.96,0.1297809169582395,0.3893427508747185
6.99,0.1297809169582395,0.3893427508747185
7,0.1297809169582395,0.3893427508747185
7,0.06106740756575039,0.1832022226972512
7.02,0.06106740756575039,0.1832022226972512
7.05,0.06106740756575039,0.1832022226972512
7.08,0.06106740756575039,0.1832022226972512
7.11,0.06106740756575039,0.1832022226972512
7.14,0.06106740756575039,0.1832022226972512
7.17,0.06106740756575039,0.1832022226972512
7.2,0.06106740756575039,0.1832022226972512
7.23,0.06106740756575039,0.1832022226972512
7.26,0.06106740756575039,0.1832022226972512
7.29,0.06106740756575039,0.1832022226972512
7.32,0.06106740756575039,0.1832022226972512
7.35,0.06106740756575039,0.1832022226972512
7.38,0.06106740756575039,0.1832022226972512
7.41,0.06106740756575039,0.1832022226972512
7.44,0.06106740756575039,0.1832022226972512
7.47,0.06106740756575039,0.1832022226972512
7.5,0.06106740756575039,0.1832022226972512
7.53,0.06106740756575039,0.1832022226972512
7.56,0.06106740756575039,0.1832022226972512
7.59,0.06106740756575039,0.1832022226972512
7.62,0.06106740756575039,0.1832022226972512
7.65,0.06106740756575039,0.1832022226972512
7.68,0.06106740756575039,0.1832022226972512
7.71,0.06106740756575039,0.1832022226972512
7.74,0.06106740756575039,0.1832022226972512
7.77,0.06106740756575039,0.1832022226972512
7.8,0.06106740756575039,0.1832022226972512
7.83,0.06106740756575039,0.1832022226972512
7.86,0.06106740756575039,0.1832022226972512
7.89,0.06106740756575039,0.1832022226972512
7.92,0.06106740756575039,0.1832022226972512
7.95,0.06106740756575039,0.1832022226972512
7.98,0.06106740756575039,0.1832022226972512
8,0.06106740756575039,0.1832022226972512
8,0.0534115895813095,0.1602347687439285
8.01,0.0534115895813095,0.1602347687439285
8.039999999999999,0.0534115895813095,0.1602347687439285
8.07,0.0534115895813095,0.1602347687439285
8.1,0.0534115895813095,0.1602347687439285
8.130000000000001,0.0534115895813095,0.1602347687439285
8.16,0.0534115895813095,0.1602347687439285
8.19,0.0534115895813095,0.1602347687439285
8.220000000000001,0.0534115895813095,0.1602347687439285
8.25,0.0534115895813095,0.1602347687439285
8.279999999999999,0.0534115895813095,0.1602347687439285
8.31,0.0534115895813095,0.1602347687439285
8.34,0.0534115895813095,0.1602347687439285
8.369999999999999,0.0534115895813095,0.1602347687439285
8.4,0.0534115895813095,0.1602347687439285
8.43,0.0534115895813095,0.1602347687439285
8.460000000000001,0.0534115895813095,0.1602347687439285
8.49,0.0534115895813095,0.1602347687439285
8.52,0.0534115895813095,0.1602347687439285
8.550000000000001,0.0534115895813095,0.1602347687439285
8.58,0.0534115895813095,0.1602347687439285
8.609999999999999,0.0534115895813095,0.1602347687439285
8.640000000000001,0.0534115895813095,0.1602347687439285
8.67,0.0534115895813095,0.1602347687439285
8.699999999999999,0.0534115895813095,0.1602347687439285
8.73,0.0534115895813095,0.1602347687439285
8.76,0.0534115895813095,0.1602347687439285
8.789999999999999,0.0534115895813095,0.1602347687439285
8.82,0.0534115895813095,0.1602347687439285
8.85,0.0534115895813095,0.1602347687439285
8.880000000000001,0.0534115895813095,0.1602347687439285
8.91,0.0534115895813095,0.1602347687439285
8.94,0.0534115895813095,0.1602347687439285
8.970000000000001,0.0534115895813095,0.1602347687439285
9,0.0534115895813095,0.1602347687439285
9,-0.07809598162726379,-0.2342879448817914
9.029999999999999,-0.07809598162726379,-0.2342879448817914
9.06,-0.07809598162726379,-0.2342879448817914
9.09,-0.07809598162726379,-0.2342879448817914
9.119999999999999,-0.07809598162726379,-0.2342879448817914
9.15,-0.07809598162726379,-0.2342879448817914
9.18,-0.07809598162726379,-0.2342879448817914
9.210000000000001,-0.07809598162726379,-0.2342879448817914
9.24,-0.07809598162726379,-0.2342879448817914
9.27,-0.07809598162726379,-0.2342879448817914
9.300000000000001,-0.07809598162726379,-0.2342879448817914
9.33,-0.07809598162726379,-0.2342879448817914
9.359999999999999,-0.07809598162726379,-0.2342879448817914
9.390000000000001,-0.07809598162726379,-0.2342879448817914
9.42,-0.07809598162726379,-0.2342879448817914
9.449999999999999,-0.07809598162726379,-0.2342879448817914
9.48,-0.07809598162726379,-0.2342879448817914
9.51,-0.07809598162726379,-0.2342879448817914
9.539999999999999,-0.07809598162726379,-0.2342879448817914
9.57,-0.07809598162726379,-0.2342879448817914
9.6,-0.07809598162726379,-0.2342879448817914
9.630000000000001,-0.07809598162726379,-0.2342879448817914
9.66,-0.07809598162726379,-0.2342879448817914
9.69,-0.07809598162726379,-0.2342879448817914
9.720000000000001,-0.07809598162726379,-0.2342879448817914
9.75,-0.07809598162726379,-0.2342879448817914
9.779999999999999,-0.07809598162726379,-0.2342879448817914
9.81,-0.07809598162726379,-0.2342879448817914
9.84,-0.07809598162726379,-0.2342879448817914
9.869999999999999,-0.07809598162726379,-0.2342879448817914
9.9,-0.07809598162726379,-0.2342879448817914
9.93,-0.07809598162726379,-0.2342879448817914
9.960000000000001,-0.07809598162726379,-0.2342879448817914
9.99,-0.07809598162726379,-0.2342879448817914
10,-0.07809598162726379,-0.2342879448817914
10,-0.2856788365756313,-0.8570365097268937
10.02,-0.2856788365756313,-0.8570365097268937
10.05,-0.2856788365756313,-0.8570365097268937
10.08,-0.2856788365756313,-0.8570365097268937
10.11,-0.2856788365756313,-0.8570365097268937
10.14,-0.2856788365756313,-0.8570365097268937
10.17,-0.2856788365756313,-0.8570365097268937
10.2,-0.2856788365756313,-0.8570365097268937
10.23,-0.2856788365756313,-0.8570365097268937
10.26,-0.2856788365756313,-0.8570365097268937
10.29,-0.2856788365756313,-0.8570365097268937
10.32,-0.2856788365756313,-0.8570365097268937
10.35,-0.2856788365756313,-0.8570365097268937
10.38,-0.2856788365756313,-0.8570365097268937
10.41,-0.2856788365756313,-0.8570365097268937
10.44,-0.2856788365756313,-0.8570365097268937
10.47,-0.2856788365756313,-0.8570365097268937
10.5,-0.2856788365756313,-0.8570365097268937
10.53,-0.2856788365756313,-0.8570365097268937
10.56,-0.2856788365756313,-0.8570365097268937
10.59,-0.2856788365756313,-0.8570365097268937
10.62,-0.2856788365756313,-0.8570365097268937
10.65,-0.2856788365756313,-0.8570365097268937
10.68,-0.2856788365756313,-0.8570365097268937
10.71,-0.2856788365756313,-0.8570365097268937
10.74,-0.2856788365756313,-0.8570365097268937
10.77,-0.2856788365756313,-0.8570365097268937
10.8,-0.2856788365756313,-0.8570365097268937
10.83,-0.2856788365756313,-0.8570365097268937
10.86,-0.2856788365756313,-0.8570365097268937
10.89,-0.2856788365756313,-0.8570365097268937
10.92,-0.2856788365756313,-0.8570365097268937
10.95,-0.2856788365756313,-0.8570365097268937
10.98,-0.2856788365756313,-0.8570365097268937
11,-0.2856788365756313,-0.8570365097268937
11,-0.09313831498389809,-0.2794149449516943
11.01,-0.09313831498389809,-0.2794149449516943
11.04,-0.09313831498389809,-0.2794149449516943
11.07,-0.09313831498389809,-0.2794149449516943
11.1,-0.09313831498389809,-0.2794149449516943
11.13,-0.09313831498389809,-0.2794149449516943
11.16,-0.09313831498389809,-0.2794149449516943
11.19,-0.09313831498389809,-0.2794149449516943
11.22,-0.09313831498389809,-0.2794149449516943
11.25,-0.09313831498389809,-0.2794149449516943
11.28,-0.09313831498389809,-0.2794149449516943
11.31,-0.09313831498389809,-0.2794149449516943
11.34,-0.09313831498389809,-0.2794149449516943
11.37,-0.09313831498389809,-0.2794149449516943
11.4,-0.09313831498389809,-0.2794149449516943
11.43,-0.09313831498389809,-0.2794149449516943
11.46,-0.09313831498389809,-0.2794149449516943
11.49,-0.09313831498389809,-0.2794149449516943
11.52,-0.09313831498389809,-0.2794149449516943
11.55,-0.09313831498389809,-0.2794149449516943
11.58,-0.09313831498389809,-0.2794149449516943
11.61,-0.09313831498389809,-0.2794149449516943
11.64,-0.09313831498389809,-0.2794149449516943
11.67,-0.09313831498389809,-0.2794149449516943
11.7,-0.09313831498389809,-0.2794149449516943
11.73,-0.09313831498389809,-0.2794149449516943
11.76,-0.09313831498389809,-0.2794149449516943
11.79,-0.09313831498389809,-0.2794149449516943
11.82,-0.09313831498389809,-0.2794149449516943
11.85,-0.09313831498389809,-0.2794149449516943
11.88,-0.09313831498389809,-0.2794149449516943
11.91,-0.09313831498389809,-0.2794149449516943
11.94,-0.09313831498389809,-0.2794149449516943
11.97,-0.09313831498389809,-0.2794149449516943
12,-0.09313831498389809,-0.2794149449516943
12,0.1898935982611012,0.5696807947833036
12.03,0.1898935982611012,0.5696807947833036
12.06,0.1898935982611012,0.5696807947833036
12.09,0.1898935982611012,0.5696807947833036
12.12,0.1898935982611012,0.5696807947833036
12.15,0.1898935982611012,0.5696807947833036
12.18,0.1898935982611012,0.5696807947833036
12.21,0.1898935982611012,0.5696807947833036
12.24,0.1898935982611012,0.5696807947833036
12.27,0.1898935982611012,0.5696807947833036
12.3,0.1898935982611012,0.5696807947833036
12.33,0.1898935982611012,0.5696807947833036
12.36,0.1898935982611012,0.5696807947833036
12.39,0.1898935982611012,0.5696807947833036
12.42,0.1898935982611012,0.5696807947833036
12.45,0.1898935982611012,0.5696807947833036
12.48,0.1898935982611012,0.5696807947833036
12.51,0.1898935982611012,0.5696807947833036
12.54,0.1898935982611012,0.5696807947833036
12.57,0.1898935982611012,0.5696807947833036
12.6,0.1898935982611012,0.5696807947833036
12.63,0.1898935982611012,0.5696807947833036
12.66,0.1898935982611012,0.5696807947833036
12.69,0.1898935982611012,0.5696807947833036
12.72,0.1898935982611012,0.5696807947833036
12.75,0.1898935982611012,0.5696807947833036
12.78,0.1898935982611012,0.5696807947833036
12.81,0.1898935982611012,0.5696807947833036
12.84,0.1898935982611012,0.5696807947833036
12.87,0.1898935982611012,0.5696807947833036
12.9,0.1898935982611012,0.5696807947833036
12.93,0.1898935982611012,0.5696807947833036
12.96,0.1898935982611012,0.5696807947833036
12.99,0.1898935982611012,0.5696807947833036
13,0.1898935982611012,0.5696807947833036
13,0.3002600090467326,0.9007800271401978
13.02,0.3002600090467326,0.9007800271401978
13.05,0.3002600090467326,0.9007800271401978
13.08,0.3002600090467326,0.9007800271401978
13.11,0.3002600090467326,0.9007800271401978
13.14,0.3002600090467326,0.9007800271401978
13.17,0.3002600090467326,0.9007800271401978
13.2,0.3002600090467326,0.9007800271401978
13.23,0.3002600090467326,0.9007800271401978
13.26,0.3002600090467326,0.9007800271401978
13.29,0.3002600090467326,0.9007800271401978
13.32,0.3002600090467326,0.9007800271401978
13.35,0.3002600090467326,0.9007800271401978
13.38,0.3002600090467326,0.9007800271401978
13.41,0.3002600090467326,0.9007800271401978
13.44,0.3002600090467326,0.9007800271401978
13.47,0.3002600090467326,0.9007800271401978
13.5,0.3002600090467326,0.9007800271401978
13.53,0.3002600090467326,0.9007800271401978
13.56,0.3002600090467326,0.9007800271401978
13.59,0.3002600090467326,0.9007800271401978
13.62,0.3002600090467326,0.9007800271401978
13.65,0.3002600090467326,0.9007800271401978
13.68,0.3002600090467326,0.9007800271401978
13.71,0.3002600090467326,0.9007800271401978
13.74,0.3002600090467326,0.9007800271401978
13.77,0.3002600090467326,0.9007800271401978
13.8,0.3002600090467326,0.9007800271401978
13.83,0.3002600090467326,0.9007800271401978
13.86,0.3002600090467326,0.9007800271401978
13.89,0.3002600090467326,0.9007800271401978
13.92,0.3002600090467326,0.9007800271401978
13.95,0.3002600090467326,0.9007800271401978
13.98,0.3002600090467326,0.9007800271401978
14,0.3002600090467326,0.9007800271401978
14,0.2170159084777019,0.6510477254331057
14.01,0.2170159084777019,0.6510477254331057
14.04,0.2170159084777019,0.6510477254331057
14.07,0.2170159084777019,0.6510477254331057
14.1,0.2170159084777019,0.6510477254331057
14.13,0.2170159084777019,0.6510477254331057
14.16,0.2170159084777019,0.6510477254331057
14.19,0.2170159084777019,0.6510477254331057
14.22,0.2170159084777019,0.6510477254331057
14.25,0.2170159084777019,0.6510477254331057
14.28,0.2170159084777019,0.6510477254331057
14.31,0.2170159084777019,0.6510477254331057
14.34,0.2170159084777019,0.6510477254331057
14.37,0.2170159084777019,0.6510477254331057
14.4,0.2170159084777019,0.6510477254331057
14.43,0.2170159084777019,0.6510477254331057
14.46,0.2170159084777019,0.6510477254331057
14.49,0.2170159084777019,0.6510477254331057
14.52,0.2170159084777019,0.6510477254331057
14.55,0.2170159084777019,0.6510477254331057
14.58,0.2170159084777019,0.6510477254331057
14.61,0.2170159084777019,0.6510477254331057
14.64,0.2170159084777019,0.6510477254331057
14.67,0.2170159084777019,0.6510477254331057
14.7,0.2170159084777019,0.6510477254331057
14.73,0.2170159084777019,0.6510477254331057
14.76,0.2170159084777019,0.6510477254331057
14.79,0.2170159084777019,0.6510477254331057
14.82,0.2170159084777019,0.6510477254331057
14.85,0.2170159084777019,0.6510477254331057
14.88,0.2170159084777019,0.6510477254331057
14.91,0.2170159084777019,0.6510477254331057
14.94,0.2170159084777019,0.6510477254331057
14.97,0.2170159084777019,0.6510477254331057
15,0.2170159084777019,0.6510477254331057
15,0.03232728396914782,0.09698185190744346
15,0.03232728396914782,0.09698185190744346
